n,intentos,resueltos,tasa_exito,metrica,ambito,muestra,media,mediana,desviacion,minimo,maximo,p25,p75,ic95_inferior,ic95_superior
3,100,100,1.0,profundidad,metricas_resueltos,100,17.22,18.0,2.925264384149186,8.0,20.0,16.0,20.0,16.64,17.76
3,100,100,1.0,expandidos,metricas_resueltos,100,44.19,34.5,36.494830130617494,8.0,257.0,20.0,53.25,37.45975000000001,51.79
3,100,100,1.0,generados,metricas_resueltos,100,123.74,97.0,100.44915493558284,24.0,707.0,58.0,152.0,105.1395,144.63224999999997
3,100,100,1.0,tiempo_cpu_ms,metricas_resueltos,100,0.78125,0.0,3.4225455243373486,0.0,15.625,0.0,0.0,0.15625,1.5625
3,100,100,1.0,tiempo_pared_ms,metricas_resueltos,100,0.7149149989709258,0.5638000147882849,0.578948060632416,0.1379000023007393,4.506700002821162,0.3597250033635646,0.9044250036822632,0.6118387743263156,0.8393178511541919
3,100,100,1.0,memoria_max_nodos,metricas_resueltos,100,79.74,62.5,61.602935126190346,18.0,436.0,40.0,95.25,68.3095,92.56149999999998
3,100,100,1.0,rss_max_muestreado_mb,metricas_resueltos,100,28.7128515625,28.71875,0.03453253456263988,28.53125,28.73046875,28.7109375,28.7265625,28.70515625,28.7187890625
3,100,100,1.0,expandidos,consumo_intentos,100,44.19,34.5,36.494830130617494,8.0,257.0,20.0,53.25,37.45975000000001,51.79
3,100,100,1.0,generados,consumo_intentos,100,123.74,97.0,100.44915493558284,24.0,707.0,58.0,152.0,105.1395,144.63224999999997
3,100,100,1.0,tiempo_cpu_ms,consumo_intentos,100,0.78125,0.0,3.4225455243373486,0.0,15.625,0.0,0.0,0.15625,1.5625
3,100,100,1.0,tiempo_pared_ms,consumo_intentos,100,0.7149149989709258,0.5638000147882849,0.578948060632416,0.1379000023007393,4.506700002821162,0.3597250033635646,0.9044250036822632,0.6118387743263156,0.8393178511541919
3,100,100,1.0,memoria_max_nodos,consumo_intentos,100,79.74,62.5,61.602935126190346,18.0,436.0,40.0,95.25,68.3095,92.56149999999998
3,100,100,1.0,rss_max_muestreado_mb,consumo_intentos,100,28.7128515625,28.71875,0.03453253456263988,28.53125,28.73046875,28.7109375,28.7265625,28.70515625,28.7187890625
4,100,100,1.0,profundidad,metricas_resueltos,100,18.18,20.0,2.858197496551442,8.0,20.0,17.5,20.0,17.6,18.7
4,100,100,1.0,expandidos,metricas_resueltos,100,122.33,82.5,136.17139044512095,8.0,957.0,41.0,153.0,98.09825000000001,150.59074999999999
4,100,100,1.0,generados,metricas_resueltos,100,380.17,258.0,423.5532488914052,24.0,3001.0,128.5,487.5,305.08250000000004,468.37225
4,100,100,1.0,tiempo_cpu_ms,metricas_resueltos,100,2.34375,0.0,6.03112651650426,0.0,31.25,0.0,0.0,1.25,3.59375
4,100,100,1.0,tiempo_pared_ms,metricas_resueltos,100,2.623845999769401,1.616000008652918,3.5412931342388645,0.2106000029016286,29.890600009821355,0.9766749935806729,3.393325001525227,2.028426149729057,3.3883377009187825
4,100,100,1.0,memoria_max_nodos,metricas_resueltos,100,255.27,177.5,279.8506403585507,18.0,1975.0,88.75,326.25,205.3095,313.51075
4,100,100,1.0,rss_max_muestreado_mb,metricas_resueltos,100,47.9330859375,47.8203125,0.2104112278200756,47.484375,48.21875,47.81640625,48.21875,47.8908203125,47.974688476562505
4,100,100,1.0,expandidos,consumo_intentos,100,122.33,82.5,136.17139044512095,8.0,957.0,41.0,153.0,98.09825000000001,150.59074999999999
4,100,100,1.0,generados,consumo_intentos,100,380.17,258.0,423.5532488914052,24.0,3001.0,128.5,487.5,305.08250000000004,468.37225
4,100,100,1.0,tiempo_cpu_ms,consumo_intentos,100,2.34375,0.0,6.03112651650426,0.0,31.25,0.0,0.0,1.25,3.59375
4,100,100,1.0,tiempo_pared_ms,consumo_intentos,100,2.623845999769401,1.616000008652918,3.5412931342388645,0.2106000029016286,29.890600009821355,0.9766749935806729,3.393325001525227,2.028426149729057,3.3883377009187825
4,100,100,1.0,memoria_max_nodos,consumo_intentos,100,255.27,177.5,279.8506403585507,18.0,1975.0,88.75,326.25,205.3095,313.51075
4,100,100,1.0,rss_max_muestreado_mb,consumo_intentos,100,47.9330859375,47.8203125,0.2104112278200756,47.484375,48.21875,47.81640625,48.21875,47.8908203125,47.974688476562505
5,100,100,1.0,profundidad,metricas_resueltos,100,19.24,20.0,1.8153108646602476,12.0,20.0,20.0,20.0,18.86,19.56
5,100,100,1.0,expandidos,metricas_resueltos,100,146.24,72.0,193.48140202431065,18.0,1096.0,37.75,152.25,112.3695,186.26049999999998
5,100,100,1.0,generados,metricas_resueltos,100,485.82,234.0,646.983667693881,61.0,3729.0,120.75,503.25,372.64849999999996,619.6707499999999
5,100,100,1.0,tiempo_cpu_ms,metricas_resueltos,100,4.6875,0.0,8.159890122923336,0.0,31.25,0.0,15.625,3.125,6.25
5,100,100,1.0,tiempo_pared_ms,metricas_resueltos,100,4.585065001738258,2.455900001223199,5.703460735984458,0.5840999947395176,33.54230002150871,1.1830249859485775,4.964100000506733,3.591285725015041,5.7770214022893915
5,100,100,1.0,memoria_max_nodos,metricas_resueltos,100,336.57,164.5,443.4252412137299,44.0,2589.0,86.25,351.0,259.4100000000001,428.62025000000006
5,100,100,1.0,rss_max_muestreado_mb,metricas_resueltos,100,291.5900390625,291.546875,0.22163555463192378,291.015625,291.91796875,291.41015625,291.69921875,291.545818359375,291.63312695312504
