n,intentos,resueltos,tasa_exito,metrica,ambito,muestra,media,mediana,desviacion,minimo,maximo,p25,p75,ic95_inferior,ic95_superior
3,100,100,1.0,profundidad,metricas_resueltos,100,21.97,22.0,3.5117551512632885,12.0,29.0,20.0,24.0,21.28,22.620249999999995
3,100,100,1.0,expandidos,metricas_resueltos,100,146.66,81.0,171.95296632004528,12.0,970.0,42.75,188.25,114.5685,182.26374999999993
3,100,100,1.0,generados,metricas_resueltos,100,409.31,225.5,478.64975691833354,34.0,2699.0,120.0,518.5,320.54525,508.65149999999994
3,100,100,1.0,tiempo_cpu_ms,metricas_resueltos,100,2.8125,0.0,6.033170619771393,0.0,15.625,0.0,0.0,1.71875,4.0625
3,100,100,1.0,tiempo_pared_ms,metricas_resueltos,100,2.7041079979971983,1.5347999869845808,3.216081609465084,0.11990001075901091,17.025800014380366,0.7916249887784943,3.323050004837569,2.107540049684758,3.3669197986819195
3,100,100,1.0,memoria_max_nodos,metricas_resueltos,100,255.35,145.5,293.1086734377617,24.0,1651.0,75.75,316.75,200.769,315.94199999999995
3,100,100,1.0,rss_max_muestreado_mb,metricas_resueltos,100,28.925859375,28.984375,0.11885775717128655,28.515625,29.01171875,28.92578125,29.00390625,28.902264648437498,28.948359375
3,100,100,1.0,expandidos,consumo_intentos,100,146.66,81.0,171.95296632004528,12.0,970.0,42.75,188.25,114.5685,182.26374999999993
3,100,100,1.0,generados,consumo_intentos,100,409.31,225.5,478.64975691833354,34.0,2699.0,120.0,518.5,320.54525,508.65149999999994
3,100,100,1.0,tiempo_cpu_ms,consumo_intentos,100,2.8125,0.0,6.033170619771393,0.0,15.625,0.0,0.0,1.71875,4.0625
3,100,100,1.0,tiempo_pared_ms,consumo_intentos,100,2.7041079979971983,1.5347999869845808,3.216081609465084,0.11990001075901091,17.025800014380366,0.7916249887784943,3.323050004837569,2.107540049684758,3.3669197986819195
3,100,100,1.0,memoria_max_nodos,consumo_intentos,100,255.35,145.5,293.1086734377617,24.0,1651.0,75.75,316.75,200.769,315.94199999999995
3,100,100,1.0,rss_max_muestreado_mb,consumo_intentos,100,28.925859375,28.984375,0.11885775717128655,28.515625,29.01171875,28.92578125,29.00390625,28.902264648437498,28.948359375
4,100,6,0.06,profundidad,metricas_resueltos,6,41.666666666666664,42.0,3.265986323710904,38.0,46.0,38.75,43.75,39.333333333333336,44.0
4,100,6,0.06,expandidos,metricas_resueltos,6,75574.83333333333,84661.5,50958.14290343268,14624.0,145916.0,34131.75,100888.5,38614.833333333336,111889.83333333333
4,100,6,0.06,generados,metricas_resueltos,6,229528.16666666666,256598.0,155520.07788503278,43719.0,444110.0,102274.75,308132.25,116681.0,340373.0
4,100,6,0.06,tiempo_cpu_ms,metricas_resueltos,6,2549.4791666666665,2828.125,1616.0938834437084,609.375,4750.0,1242.1875,3382.8125,1369.7916666666667,3688.0208333333258
4,100,6,0.06,tiempo_pared_ms,metricas_resueltos,6,2605.5693833332043,2903.909749991726,1659.643773876337,616.5993000031449,4857.809100009035,1257.0077500058687,3458.3384249926894,1397.6851666666334,3774.8626962527173
4,100,6,0.06,memoria_max_nodos,metricas_resueltos,6,146095.0,162889.0,98890.81710047703,28048.0,281778.0,64926.0,197243.0,74204.66666666667,216775.66666666666
4,100,6,0.06,rss_max_muestreado_mb,metricas_resueltos,6,142.43229166666666,142.84765625,6.645856242205161,131.98046875,151.0234375,139.78515625,146.0595703125,137.2916015625,146.82096354166666
4,100,6,0.06,expandidos,consumo_intentos,100,152496.0,153975.5,34198.402266713565,14624.0,264134.0,140584.75,170896.25,145660.99375,158918.83599999998
4,100,6,0.06,generados,consumo_intentos,100,463355.58,466804.5,103498.70220073273,43719.0,805800.0,428092.25,517142.0,442542.50375000003,482769.352
4,100,6,0.06,tiempo_cpu_ms,consumo_intentos,100,4729.21875,4859.375,665.2152427952618,609.375,5125.0,4828.125,4906.25,4585.6171875,4843.12890625
4,100,6,0.06,tiempo_pared_ms,consumo_intentos,100,4868.335607001209,5000.055500000599,686.0150125401026,616.5993000031449,5222.788099985337,5000.029050017474,5000.096400006441,4718.721047075553,4986.08315810113
4,100,6,0.06,memoria_max_nodos,consumo_intentos,100,295132.3,298175.5,65532.58197440662,28048.0,513233.0,272500.75,331048.75,281953.98725,307298.312
