experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,4,astar,H5,,resuelto,20,34,106,0,0,40,35,74,47.484375,0.0,1.3883000065106899
2,49,4,astar,H5,,resuelto,20,101,307,0,0,101,102,202,47.56640625,0.0,1.9026999943889678
2,39,4,astar,H5,,resuelto,18,87,273,0,0,100,88,187,47.609375,0.0,1.6086999967228621
2,1,4,astar,H5,,resuelto,20,31,93,0,0,33,32,64,47.609375,0.0,0.5954999942332506
2,81,4,astar,H5,,resuelto,10,15,46,0,0,18,16,33,47.609375,0.0,0.3148999821860343
2,23,4,astar,H5,,resuelto,18,275,846,0,0,288,276,563,47.7109375,0.0,6.893500016303733
2,85,4,astar,H5,,resuelto,20,170,521,0,1,176,171,346,47.71875,15.625,3.4617999917827547
2,92,4,astar,H5,,resuelto,16,111,357,0,0,134,112,245,47.71875,0.0,2.0634999964386225
2,68,4,astar,H5,,resuelto,10,14,47,0,0,21,15,35,47.71875,0.0,0.34550001146271825
2,33,4,astar,H5,,resuelto,20,28,86,0,0,30,29,58,47.71875,0.0,0.526099989656359
2,91,4,astar,H5,,resuelto,16,110,341,0,0,119,111,229,47.71875,0.0,1.9274000078439713
2,38,4,astar,H5,,resuelto,20,225,704,0,0,245,226,470,47.71875,0.0,3.95139999454841
2,44,4,astar,H5,,resuelto,20,69,212,0,0,71,70,140,47.71875,0.0,1.20160001097247
2,13,4,astar,H5,,resuelto,20,266,828,0,0,292,267,558,47.71875,15.625,5.500999977812171
2,54,4,astar,H5,,resuelto,18,83,262,0,0,97,84,179,47.71875,0.0,2.929300011601299
2,70,4,astar,H5,,resuelto,20,65,207,0,0,77,66,142,47.71875,0.0,1.6867999802343547
2,62,4,astar,H5,,resuelto,20,361,1135,0,1,405,362,766,47.80859375,0.0,6.623699999181554
2,24,4,astar,H5,,resuelto,20,42,132,0,0,50,43,92,47.80859375,0.0,0.8639000006951392
2,19,4,astar,H5,,resuelto,20,94,296,0,0,108,95,202,47.80859375,15.625,1.95720000192523
2,25,4,astar,H5,,resuelto,18,42,132,0,0,47,43,89,47.80859375,0.0,1.221999991685152
2,2,4,astar,H5,,resuelto,14,95,295,0,0,104,96,199,47.80859375,0.0,1.7355000018142164
2,82,4,astar,H5,,resuelto,20,159,489,0,0,167,160,326,47.8125,0.0,2.7079000137746334
2,35,4,astar,H5,,resuelto,20,134,407,0,0,131,135,265,47.81640625,0.0,2.2567999840248376
2,52,4,astar,H5,,resuelto,16,75,236,0,0,85,76,160,47.81640625,0.0,1.3402000186033547
2,31,4,astar,H5,,resuelto,20,95,294,0,0,105,96,200,47.81640625,0.0,1.6937000036705285
2,75,4,astar,H5,,resuelto,20,103,328,0,0,118,104,221,47.81640625,0.0,1.8387000018265098
2,12,4,astar,H5,,resuelto,20,105,315,0,0,105,106,210,47.81640625,15.625,1.7708000086713582
2,42,4,astar,H5,,resuelto,16,63,199,0,0,75,64,138,47.81640625,0.0,1.566499995533377
2,50,4,astar,H5,,resuelto,16,63,203,0,0,74,64,137,47.8203125,0.0,1.2641999928746372
2,51,4,astar,H5,,resuelto,14,28,89,0,0,35,29,63,47.8203125,0.0,0.5676999862771481
2,46,4,astar,H5,,resuelto,20,54,169,0,0,62,55,116,47.8203125,0.0,0.9845999884419143
2,36,4,astar,H5,,resuelto,20,54,164,0,0,58,55,112,47.8203125,0.0,0.9529000089969486
2,27,4,astar,H5,,resuelto,18,23,74,0,0,30,24,53,47.8203125,0.0,0.4769999941345304
2,78,4,astar,H5,,resuelto,18,84,266,0,0,96,85,180,47.8203125,0.0,1.5197000175248832
2,65,4,astar,H5,,resuelto,20,62,188,0,0,66,63,128,47.8203125,0.0,1.1015000054612756
2,41,4,astar,H5,,resuelto,16,38,121,0,0,45,39,83,47.8203125,0.0,0.7091999868862331
2,37,4,astar,H5,,resuelto,20,196,618,0,0,217,197,413,47.8203125,0.0,3.486800007522106
2,55,4,astar,H5,,resuelto,20,67,205,0,0,73,68,140,47.8203125,15.625,1.2266999983694404
2,40,4,astar,H5,,resuelto,20,186,573,0,2,194,187,380,47.8203125,0.0,4.147900006501004
2,10,4,astar,H5,,resuelto,20,112,351,0,0,118,113,230,47.8203125,0.0,2.439900010358542
2,5,4,astar,H5,,resuelto,20,100,312,0,0,113,101,213,47.8203125,0.0,1.8238000047858804
2,94,4,astar,H5,,resuelto,14,82,254,0,0,88,83,170,47.8203125,0.0,1.4247999934013933
2,97,4,astar,H5,,resuelto,18,296,913,0,1,312,297,608,47.8203125,15.625,8.448499982478097
2,53,4,astar,H5,,resuelto,16,97,300,0,0,107,98,204,47.8203125,0.0,2.3209000064525753
2,60,4,astar,H5,,resuelto,20,80,240,0,0,80,81,160,47.8203125,0.0,1.4137999969534576
2,3,4,astar,H5,,resuelto,20,111,332,0,0,109,112,220,47.8203125,0.0,1.8531999958213419
2,95,4,astar,H5,,resuelto,20,90,271,0,0,92,91,182,47.8203125,0.0,1.6563999815844
2,59,4,astar,H5,,resuelto,20,45,133,0,0,45,46,90,47.8203125,0.0,0.8514999935869128
2,18,4,astar,H5,,resuelto,20,100,311,0,0,111,101,211,47.8203125,0.0,1.8637000175658613
2,98,4,astar,H5,,resuelto,16,108,336,0,1,120,109,228,47.8203125,15.625,2.056800003629178
2,29,4,astar,H5,,resuelto,18,54,172,0,0,64,55,118,47.8203125,0.0,1.0473000002093613
2,34,4,astar,H5,,resuelto,20,106,330,0,0,115,107,221,47.8203125,0.0,2.056199999060482
2,15,4,astar,H5,,resuelto,20,146,449,0,0,155,147,301,47.8203125,0.0,3.8656000106129795
2,45,4,astar,H5,,resuelto,20,235,734,0,0,260,236,495,47.8203125,0.0,4.251300008036196
2,71,4,astar,H5,,resuelto,8,8,24,0,0,10,9,18,47.8203125,0.0,0.2106000029016286
2,7,4,astar,H5,,resuelto,20,240,756,0,0,269,241,509,47.82421875,15.625,4.22999999136664
2,93,4,astar,H5,,resuelto,20,64,196,0,0,68,65,132,47.828125,0.0,1.138299994636327
2,47,4,astar,H5,,resuelto,14,41,129,0,0,49,42,90,47.828125,0.0,0.7750000222586095
2,21,4,astar,H5,,resuelto,20,86,266,0,0,94,87,180,47.828125,0.0,1.6146000125445426
2,48,4,astar,H5,,resuelto,16,50,155,0,0,56,51,106,47.828125,0.0,2.0520999969448894
2,86,4,astar,H5,,resuelto,18,26,88,0,0,38,27,64,47.828125,0.0,1.1016999778803438
2,22,4,astar,H5,,resuelto,20,38,119,0,0,45,39,83,47.828125,0.0,0.9866000036709011
2,96,4,astar,H5,,resuelto,20,386,1195,0,2,408,387,794,47.83203125,15.625,7.558400015113875
2,67,4,astar,H5,,resuelto,18,34,104,0,0,38,35,72,47.83203125,0.0,0.6581999768968672
2,83,4,astar,H5,,resuelto,20,957,3001,0,4,1018,958,1975,48.09765625,31.25,29.890600009821355
2,17,4,astar,H5,,resuelto,16,28,93,0,0,39,29,67,48.09765625,0.0,0.8630999946035445
2,30,4,astar,H5,,resuelto,16,70,212,0,0,74,71,144,48.1015625,0.0,1.2947999930474907
2,20,4,astar,H5,,resuelto,20,176,536,0,0,182,177,358,48.1328125,0.0,3.6032999923918396
2,79,4,astar,H5,,resuelto,20,28,88,0,0,34,29,62,48.1328125,0.0,0.6950999959371984
2,57,4,astar,H5,,resuelto,18,201,632,0,0,218,202,419,48.1328125,15.625,6.167299987282604
2,89,4,astar,H5,,resuelto,20,31,92,0,0,30,32,61,48.1328125,0.0,0.9967999940272421
2,14,4,astar,H5,,resuelto,18,593,1831,0,2,626,594,1219,48.21875,0.0,13.968699990073219
2,66,4,astar,H5,,resuelto,20,209,655,0,0,235,210,444,48.21875,15.625,4.132000001845881
2,84,4,astar,H5,,resuelto,20,235,725,0,1,246,236,481,48.21875,0.0,4.217199981212616
2,6,4,astar,H5,,resuelto,20,42,136,0,0,54,43,96,48.21875,0.0,0.8738999895285815
2,64,4,astar,H5,,resuelto,20,264,822,0,0,292,265,556,48.21875,0.0,5.831399990711361
2,69,4,astar,H5,,resuelto,20,77,251,0,0,99,78,176,48.21875,15.625,1.5232000150717795
