experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,6,astar,H5,,limite_tiempo,,107354,337880,0,20,116933,107354,224287,203.828125,4937.5,5000.201900023967
2,49,6,astar,H5,,limite_tiempo,,87655,290462,0,188,112705,87655,200360,193.40625,4921.875,5000.026999972761
2,39,6,astar,H5,,limite_tiempo,,107407,338951,0,7,121503,107407,228910,205.22265625,4937.5,5000.07799998275
2,1,6,astar,H5,,limite_tiempo,,77090,242318,0,37,87055,77090,164145,169.765625,4968.75,5000.031999981729
2,81,6,astar,H5,,limite_tiempo,,70769,226429,0,12,83429,70769,154198,166.953125,4859.375,5000.20239999867
2,23,6,astar,H5,,limite_tiempo,,78264,246119,0,208,87636,78264,165900,171.171875,4953.125,5000.162000011187
2,85,6,astar,H5,,limite_tiempo,,74088,250069,0,114,99694,74088,173782,175.8671875,4859.375,5000.106200022856
2,92,6,astar,H5,,limite_tiempo,,98423,330368,0,411,129813,98423,228236,206.0625,4875.0,5000.1946999982465
2,68,6,astar,H5,,limite_tiempo,,106415,341257,0,61,126278,106415,232693,208.265625,4937.5,5000.152099994011
2,33,6,astar,H5,,limite_tiempo,,103000,339191,0,365,130144,103000,233144,208.9765625,4968.75,5000.069599976996
2,91,6,astar,H5,,limite_tiempo,,106107,342203,0,133,126692,106107,232799,207.60546875,4890.625,5000.135299982503
2,38,6,astar,H5,,limite_tiempo,,72933,244355,0,38,95982,72933,168915,177.2734375,4921.875,5000.242000009166
2,44,6,astar,H5,,limite_tiempo,,93583,303078,0,77,114027,93583,207610,197.19140625,4875.0,5000.083900027676
2,13,6,astar,H5,,limite_tiempo,,80319,252429,0,0,89584,80319,169903,174.37890625,4906.25,5000.060999998823
2,54,6,astar,H5,,limite_tiempo,,94559,311344,0,408,118768,94559,213327,200.53125,4921.875,5000.063299987232
2,70,6,astar,H5,,limite_tiempo,,89547,294932,0,37,112497,89547,202044,194.8359375,4843.75,5000.15780000831
2,62,6,astar,H5,,limite_tiempo,,70315,233650,0,51,89922,70315,160237,168.796875,4890.625,5000.027300004149
2,24,6,astar,H5,,limite_tiempo,,73295,245127,0,166,96775,73295,170070,173.78515625,4796.875,5000.059400015743
