experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
1,527,3,astar,H3,,resuelto,19,70,188,0,0,49,71,119,24.703125,15.625,1.3792999961879104
1,873,3,astar,H3,,resuelto,23,1262,3385,0,2,765,1263,2027,25.3125,15.625,19.038300000829622
1,686,3,astar,H3,,resuelto,24,459,1232,0,2,278,460,737,25.3125,0.0,7.867999986046925
1,174,3,astar,H3,,resuelto,22,979,2638,0,7,560,980,1539,25.3125,15.625,12.258499977178872
1,945,3,astar,H3,,resuelto,12,27,75,0,0,23,28,50,25.3125,0.0,0.5699000030290335
1,216,3,astar,H3,,resuelto,20,262,707,0,3,164,263,426,25.3125,0.0,4.362200008472428
1,534,3,astar,H3,,resuelto,20,162,432,0,0,103,163,265,25.3125,0.0,1.8025999888777733
1,583,3,astar,H3,,resuelto,25,1488,3954,0,7,854,1489,2342,25.3828125,31.25,19.249900011345744
1,126,3,astar,H3,,resuelto,13,40,106,0,0,28,41,68,25.3828125,0.0,0.49470001249574125
1,255,3,astar,H3,,resuelto,24,1199,3210,0,15,681,1200,1880,25.3828125,15.625,23.657100013224408
1,809,3,astar,H3,,resuelto,26,1110,2979,0,7,662,1111,1772,25.3828125,15.625,13.277299993205816
1,929,3,astar,H3,,resuelto,22,403,1069,0,2,233,404,636,25.3828125,15.625,5.472099990583956
1,374,3,astar,H3,,resuelto,25,1234,3329,0,8,764,1235,1998,25.38671875,15.625,18.033400003332645
1,362,3,astar,H3,,resuelto,26,2558,6803,0,10,1401,2559,3959,25.86328125,46.875,48.1279999949038
1,272,3,astar,H3,,resuelto,25,1790,4823,0,13,1062,1791,2852,25.86328125,15.625,24.600799981271848
1,985,3,astar,H3,,resuelto,28,3898,10310,0,17,2063,3899,5959,26.55078125,78.125,83.90570001211017
1,375,3,astar,H3,,resuelto,25,1863,4994,0,8,1074,1864,2937,26.234375,31.25,32.5005000049714
1,678,3,astar,H3,,resuelto,18,173,460,0,0,108,174,281,26.234375,0.0,3.567100007785484
1,194,3,astar,H3,,resuelto,20,206,550,0,0,115,207,321,26.234375,15.625,2.8992000152356923
1,488,3,astar,H3,,resuelto,23,467,1242,0,1,276,468,743,26.234375,0.0,5.113399995025247
1,729,3,astar,H3,,resuelto,18,185,498,0,0,119,186,304,26.234375,0.0,2.8030999819748104
1,102,3,astar,H3,,resuelto,23,714,1918,0,3,435,715,1149,26.234375,15.625,9.013900009449571
1,812,3,astar,H3,,resuelto,15,27,69,0,0,17,28,44,26.234375,0.0,0.33030001213774085
1,531,3,astar,H3,,resuelto,20,322,856,0,2,181,323,503,26.234375,0.0,3.8203999865800142
1,511,3,astar,H3,,resuelto,28,5124,13636,0,50,2748,5125,7872,27.39453125,78.125,80.10880000074394
1,980,3,astar,H3,,resuelto,24,1311,3528,0,4,784,1312,2095,26.47265625,15.625,17.55849999608472
1,801,3,astar,H3,,resuelto,22,519,1367,0,1,290,520,809,26.27734375,15.625,8.423399995081127
1,616,3,astar,H3,,resuelto,24,1809,4829,0,11,1004,1810,2812,26.6171875,15.625,23.184599995147437
1,92,3,astar,H3,,resuelto,22,338,920,0,0,219,339,557,26.62109375,15.625,4.483700002310798
1,479,3,astar,H3,,resuelto,24,1185,3155,0,8,699,1186,1884,26.625,15.625,16.68299999437295
1,448,3,astar,H3,,resuelto,25,1901,5010,0,11,1040,1902,2941,26.625,0.0,27.80700000585057
1,425,3,astar,H3,,resuelto,20,274,733,0,1,170,275,444,26.625,15.625,3.905199992004782
1,427,3,astar,H3,,resuelto,20,180,478,0,0,115,181,295,26.625,0.0,1.8743000109679997
1,871,3,astar,H3,,resuelto,23,639,1725,0,7,396,640,1034,26.625,0.0,8.490000007441267
1,834,3,astar,H3,,resuelto,25,1119,3004,0,14,664,1120,1783,26.625,15.625,15.108300023712218
1,135,3,astar,H3,,resuelto,22,400,1057,0,2,237,401,637,26.625,15.625,5.325200007064268
1,999,3,astar,H3,,resuelto,24,1323,3527,0,7,748,1324,2071,26.625,15.625,18.46939997631125
1,497,3,astar,H3,,resuelto,23,864,2288,0,3,484,865,1348,26.625,31.25,25.77119998750277
1,802,3,astar,H3,,resuelto,22,696,1854,0,5,415,697,1110,26.625,15.625,16.969099990092218
1,884,3,astar,H3,,resuelto,23,930,2482,0,4,551,931,1481,26.625,15.625,16.853800014359877
1,640,3,astar,H3,,resuelto,18,171,462,0,2,110,172,280,26.625,0.0,1.8539000011514872
1,16,3,astar,H3,,resuelto,23,677,1788,0,1,390,678,1067,26.625,15.625,10.18589999875985
1,548,3,astar,H3,,resuelto,25,1369,3632,0,7,768,1370,2137,26.625,15.625,17.371399997500703
1,159,3,astar,H3,,resuelto,25,1683,4482,0,10,946,1684,2629,26.625,15.625,24.20810001785867
1,813,3,astar,H3,,resuelto,26,2135,5620,0,6,1149,2136,3284,26.6328125,46.875,35.925100004533306
1,359,3,astar,H3,,resuelto,17,59,159,0,0,42,60,101,26.6328125,0.0,1.659700006712228
1,998,3,astar,H3,,resuelto,20,341,928,0,3,228,342,569,26.6328125,0.0,4.682099999627098
1,383,3,astar,H3,,resuelto,22,493,1309,0,1,287,494,780,26.6328125,0.0,5.372100014938042
1,986,3,astar,H3,,resuelto,24,184,487,0,0,114,185,298,26.6328125,0.0,1.9625000131782144
1,232,3,astar,H3,,resuelto,22,843,2247,0,2,489,844,1332,26.6328125,31.25,22.65220001572743
1,229,3,astar,H3,,resuelto,19,183,491,0,0,117,184,299,26.6328125,0.0,3.0504000023938715
1,104,3,astar,H3,,resuelto,18,165,448,0,0,109,166,274,26.6328125,0.0,3.326599980937317
1,182,3,astar,H3,,resuelto,23,767,2034,0,4,436,768,1203,26.6328125,15.625,15.464199997950345
1,99,3,astar,H3,,resuelto,25,2409,6439,0,14,1347,2410,3756,26.63671875,46.875,33.41709999949671
1,350,3,astar,H3,,resuelto,23,1417,3760,0,6,777,1418,2194,26.63671875,46.875,49.794599995948374
1,720,3,astar,H3,,resuelto,24,1655,4372,0,9,912,1656,2567,26.640625,31.25,29.469900007825345
