algoritmo,metrica,n,media,mediana,desviacion,minimo,maximo,p25,p75,ic95_inferior,ic95_superior
astar,profundidad,1000,21.855,22.0,3.4490391228385437,8.0,30.0,20.0,24.0,21.639,22.074
codicioso,profundidad,1000,27.359,26.0,7.847783553762598,8.0,58.0,22.0,32.0,26.870974999999998,27.845025
astar,expandidos,1000,134.565,85.0,150.50916511556292,8.0,1597.0,40.0,175.25,125.4786,144.32777499999997
codicioso,expandidos,1000,42.318,36.0,23.274031807071086,8.0,132.0,25.0,53.0,40.868,43.76005
astar,generados,1000,375.537,237.5,417.33719815991475,22.0,4465.0,114.75,492.0,350.28077499999995,402.6591
codicioso,generados,1000,118.407,101.0,62.901000682714795,22.0,365.0,71.0,149.0,114.4975,122.28354999999999
astar,tiempo_cpu_ms,1000,1.140625,0.0,4.066666695512111,0.0,15.625,0.0,0.0,0.890625,1.40625
codicioso,tiempo_cpu_ms,1000,0.359375,0.0,2.3434110949500377,0.0,15.625,0.0,0.0,0.21875,0.515625
astar,tiempo_pared_ms,1000,1.1932466992875561,0.760349998017773,1.316103040185788,0.08280001929961145,13.745500007644296,0.38365000364137813,1.5179250040091574,1.1157491668804143,1.2774223489963332
codicioso,tiempo_pared_ms,1000,0.3953670001938008,0.3371500060893595,0.22925511169784404,0.09970000246539712,2.039699989836663,0.23947498993948102,0.4792249819729477,0.3813049004616914,0.4099133694107877
astar,memoria_max_nodos,1000,235.107,152.0,254.10886814093655,16.0,2688.0,75.0,306.25,219.7699,251.6072
codicioso,memoria_max_nodos,1000,77.622,67.5,38.678406574407056,16.0,225.0,48.0,98.0,75.222775,80.00602500000001
astar,rss_max_muestreado_mb,1000,29.45019921875,29.56640625,0.20177867651655454,28.82421875,29.59765625,29.20703125,29.578125,29.437980371093747,29.46250029296875
codicioso,rss_max_muestreado_mb,1000,28.98687890625,28.984375,0.04394325857520817,28.71484375,29.0625,28.953125,29.01953125,28.98417158203125,28.98956259765625
