experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
2,32,6,astar,H5,,limite_tiempo,,64375,208941,0,20,77614,64375,141989,160.22265625,4843.75,5000.122600002214
2,49,6,astar,H5,,limite_tiempo,,60787,196004,0,0,72714,60787,133501,156.890625,4875.0,5000.072700000601
2,39,6,astar,H5,,limite_tiempo,,65551,213031,0,7,80000,65551,145551,162.30078125,4625.0,5000.125899998238
2,1,6,astar,H5,,limite_tiempo,,49705,157436,0,0,57406,49705,107111,153.38671875,4687.5,5000.195800006622
2,81,6,astar,H5,,limite_tiempo,,44300,144507,0,12,54961,44300,99261,150.3671875,4640.625,5000.066099979449
2,23,6,astar,H5,,limite_tiempo,,46800,146939,0,23,52224,46800,99024,147.92578125,4484.375,5000.152799999341
2,85,6,astar,H5,,limite_tiempo,,46073,151447,0,68,58181,46073,104254,144.23046875,4687.5,5000.12810001499
2,92,6,astar,H5,,limite_tiempo,,44606,144779,0,24,54354,44606,98960,141.7734375,4718.75,5000.082599988673
2,68,6,astar,H5,,limite_tiempo,,42001,136204,0,1,51406,42001,93407,142.39453125,4734.375,5000.088699976914
2,33,6,astar,H5,,limite_tiempo,,44214,141123,0,4,51590,44214,95804,140.26171875,4734.375,5000.163800024893
2,91,6,astar,H5,,limite_tiempo,,43685,133454,0,4,45181,43685,88866,140.44921875,4656.25,5001.457299978938
2,38,6,astar,H5,,limite_tiempo,,38117,126605,0,0,49199,38117,87316,137.91015625,4734.375,5000.251199991908
2,44,6,astar,H5,,limite_tiempo,,45040,143797,0,0,52733,45040,97773,141.0859375,4562.5,5000.180700008059
2,13,6,astar,H5,,limite_tiempo,,42993,137260,0,0,50124,42993,93117,141.109375,4812.5,5000.10070001008
2,54,6,astar,H5,,limite_tiempo,,75854,245326,0,300,91145,75854,166999,172.5078125,4765.625,5000.038300000597
2,70,6,astar,H5,,limite_tiempo,,81583,268569,0,37,102478,81583,184061,187.125,4875.0,5000.061400001869
2,62,6,astar,H5,,limite_tiempo,,80795,268241,0,51,102959,80795,183754,187.8125,4843.75,5000.061300001107
2,24,6,astar,H5,,limite_tiempo,,83303,279731,0,166,111267,83303,194570,192.8515625,4781.25,5000.1502000086475
2,19,6,astar,H5,,limite_tiempo,,54799,181808,0,111,70936,54799,125735,174.28125,4796.875,5000.0702000106685
2,25,6,astar,H5,,limite_tiempo,,66356,215164,0,16,80026,66356,146382,167.3515625,4640.625,5000.111100001959
