experimento,instancia,n,algoritmo,heuristica,peso,estado,profundidad,expandidos,generados,reabiertos,descartados,frontera_max,visitados_max,memoria_max_nodos,rss_max_muestreado_mb,tiempo_cpu_ms,tiempo_pared_ms
1,2,3,astar,H3,,resuelto,4,4,12,0,0,6,5,10,24.375,0.0,0.39030000334605575
1,1,3,astar,H3,,resuelto,4,4,12,0,0,6,5,10,24.39453125,0.0,0.8291999984066933
1,2,3,astar,H5,,resuelto,4,4,12,0,0,6,5,10,28.58984375,0.0,0.2615999837871641
1,1,3,astar,H5,,resuelto,4,4,12,0,0,6,5,10,28.6015625,0.0,0.2798000059556216
1,2,3,codicioso,H6,0.25,resuelto,4,4,12,0,0,6,5,10,24.13671875,0.0,0.33160002203658223
1,1,3,codicioso,H6,0.25,resuelto,4,4,12,0,0,6,5,10,24.15234375,0.0,0.33409998286515474
1,2,3,codicioso,H5,,resuelto,4,4,12,0,0,6,5,10,28.390625,0.0,0.2607000060379505
1,1,3,codicioso,H5,,resuelto,4,4,12,0,0,6,5,10,28.3984375,0.0,0.19069999689236283
1,2,3,codicioso,H6,0.5,resuelto,4,4,12,0,0,6,5,10,24.48828125,0.0,0.36249999538995326
1,1,3,codicioso,H6,0.5,resuelto,4,4,12,0,0,6,5,10,24.5078125,0.0,0.3032000095117837
1,2,3,astar,H6,0.25,resuelto,4,4,12,0,0,6,5,10,24.12109375,0.0,0.2682000049389899
1,1,3,astar,H6,0.25,resuelto,4,4,12,0,0,6,5,10,24.13671875,0.0,0.27699998463504016
1,2,3,codicioso,H1,,resuelto,4,5,15,0,0,7,6,12,24.16796875,0.0,0.2798000059556216
1,1,3,codicioso,H1,,resuelto,4,4,12,0,0,6,5,10,24.18359375,0.0,0.1762000028975308
1,2,3,codicioso,H4,,resuelto,4,4,12,0,0,6,5,10,25.6640625,0.0,0.9188999829348177
1,1,3,codicioso,H4,,resuelto,4,4,12,0,0,6,5,10,25.68359375,0.0,0.38029998540878296
1,2,3,astar,H6,0.75,resuelto,4,4,12,0,0,6,5,10,24.1015625,0.0,0.4208000027574599
1,1,3,astar,H6,0.75,resuelto,4,4,12,0,0,6,5,10,24.1171875,0.0,0.29570001061074436
1,2,3,codicioso,H2,,resuelto,4,4,12,0,0,6,5,10,24.4140625,0.0,0.24550000671297312
1,1,3,codicioso,H2,,resuelto,4,4,12,0,0,6,5,10,24.4296875,0.0,0.14109999756328762
1,2,3,astar,H1,,resuelto,4,5,15,0,0,7,6,12,24.5,0.0,0.22819999139755964
1,1,3,astar,H1,,resuelto,4,4,12,0,0,6,5,10,24.51953125,0.0,0.1975000195670873
1,2,3,codicioso,H6,0.75,resuelto,4,4,12,0,0,6,5,10,24.46875,0.0,0.3620999923441559
1,1,3,codicioso,H6,0.75,resuelto,4,4,12,0,0,6,5,10,24.484375,0.0,0.28520001797005534
1,2,3,astar,H4,,resuelto,4,4,12,0,0,6,5,10,25.375,0.0,0.8553999941796064
1,1,3,astar,H4,,resuelto,4,4,12,0,0,6,5,10,25.39453125,0.0,0.6804000004194677
1,2,3,astar,H6,0.5,resuelto,4,4,12,0,0,6,5,10,24.30078125,0.0,0.3160000196658075
1,1,3,astar,H6,0.5,resuelto,4,4,12,0,0,6,5,10,24.31640625,0.0,0.25419998564757407
1,2,3,codicioso,H3,,resuelto,4,4,12,0,0,6,5,10,24.37890625,0.0,0.34229998709633946
1,1,3,codicioso,H3,,resuelto,4,4,12,0,0,6,5,10,24.3984375,0.0,0.2815999905578792
1,2,3,astar,H2,,resuelto,4,4,12,0,0,6,5,10,24.41015625,0.0,0.23210002109408379
1,1,3,astar,H2,,resuelto,4,4,12,0,0,6,5,10,24.42578125,0.0,0.31350000062957406
